Dataset,Best AUC,Best Sigma
cardio,0.9527327657237024,0.3
diabetes_tested_positive_26_variant1,0.9888461538461538,0.8500000000000001
ecoli,0.9554875976894325,1.0
ionosphere_b_24_variant1,0.9996296296296296,0.8500000000000001
iris_Irisvirginica_11_variant1,1.0,0.25
musk,1.0,0.4
pageblocks_1_258_variant1,0.9596916581068735,0.25
pima_TRUE_55_variant1,0.970509090909091,0.8
satellite,0.7339201488461164,0.8
sonar_M_10_variant1,0.9948453608247423,0.8500000000000001
thyroid,0.9850736671664518,0.9500000000000001
wbc_malignant_39_variant1,0.9970547470547472,0.05
wdbc_M_39_variant1,0.9977016447604683,0.7500000000000001
wine,0.884873949579832,0.8
wpbc_variant1,0.5940538255600958,1.0
