Dataset,DIS,COF,FastABOD,INFLO,kNN,LDOF,LoOP,ODIN,DCROD,ECOD,IForest,OutRanka,WNINOD,FGAS
cardio,0.645,0.61,0.692,0.741,0.929,0.697,0.667,0.686,0.834,0.935,0.93,0.803,0.906,0.95
diabetes_tested_positive_26_variant1,0.957,0.928,0.959,0.913,0.958,0.863,0.87,0.898,0.935,0.979,0.969,0.788,0.982,0.984
ecoli,0.875,0.866,0.88,0.878,0.897,0.863,0.886,0.835,0.875,0.781,0.868,0.848,0.526,0.958
ionosphere_b_24_variant1,1.0,0.992,1.0,0.992,1.0,0.988,0.993,0.993,1.0,0.994,1.0,0.999,0.994,1.0
iris_Irisvirginica_11_variant1,0.954,0.977,0.983,0.998,0.995,0.992,0.969,0.993,0.983,0.977,0.958,0.628,1.0,0.998
musk,0.235,0.0,0.5,0.552,1.0,0.663,0.557,0.516,0.863,0.956,1.0,0.569,0.0,1.0
pageblocks_1_258_variant1,0.862,0.758,0.882,0.802,0.977,0.854,0.791,0.784,0.953,0.938,0.975,0.918,0.952,0.959
pima_TRUE_55_variant1,0.939,0.904,0.947,0.903,0.943,0.855,0.86,0.889,0.928,0.947,0.955,0.783,0.967,0.963
satellite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.0,0.0,0.0
sonar_M_10_variant1,0.929,0.993,0.987,0.994,0.998,0.964,0.981,0.994,0.989,0.966,0.985,0.984,0.977,0.993
thyroid,0.947,0.913,0.949,0.931,0.952,0.874,0.909,0.863,0.955,0.977,0.97,0.911,0.831,0.982
wbc_malignant_39_variant1,0.991,0.645,0.991,0.891,0.997,0.857,0.644,0.737,0.976,0.995,0.997,0.501,0.996,0.996
wdbc_M_39_variant1,0.956,0.937,0.955,0.968,0.995,0.702,0.839,0.786,0.968,0.959,0.987,0.763,0.996,0.997
wine,0.442,0.858,0.697,0.934,0.929,0.816,0.855,0.887,0.885,0.733,0.775,0.822,0.861,0.899
wpbc_variant1,0.505,0.543,0.53,0.505,0.54,0.504,0.505,0.507,0.513,0.481,0.478,0.513,0.485,0.57
